epoch#, log10(loss), log10(val_loss)
0, 1.3684419982920477, 0.7664417221274331
1, 1.0576778936070095, 0.8714664315108455
2, 0.9302481412715333, 0.9954154419202169
3, 0.8568856070781967, 1.0097815947633795
4, 0.8222220223757749, 1.0027668886532575
5, 0.7723614839387403, 1.109308810774326
6, 0.726075144775813, 0.8862011791713628
7, 0.7054257471631767, 0.8780186008217787
8, 0.6829452164679163, 0.726861847253024
9, 0.6400340373367759, 0.6733747941383734
10, 0.6156571840077466, 0.4092963139069224
11, 0.5911061659557417, 0.3968554209132853
12, 0.5587119891837256, 0.1995287116946246
13, 0.5377948201094356, 0.223563112903348
14, 0.5123583197577801, 0.2208915922166465
15, 0.5153031214382515, 0.15622851373278931
16, 0.5159238727244762, 0.3215214699586117
17, 0.4738438704939667, 0.08371841520192254
18, 0.4567816953093843, 0.19486533878339765
19, 0.44146916922365276, 0.0752041080565803
20, 0.40111750754429976, -0.0009671922998626382
21, 0.39148018687998903, 0.04301431370684701
22, 0.3814990298637779, 0.11685425314121653
23, 0.3746755760952201, 0.02357845432461478
24, 0.36691528859234085, 0.1952476757715609
25, 0.35611848578260824, 0.00793697673916564
26, 0.3099306371131403, 0.04649875979477104
27, 0.31428821664261924, -0.005718496210917402
28, 0.293302513030705, -0.04387238376403288
29, 0.2748380060945449, -0.003354307016616471
30, 0.29044308298331933, -0.02691356702632
31, 0.2626264101311214, -0.1264252686002342
32, 0.26272285996733763, 0.09238576679638914
33, 0.26499604171705754, -0.1981143639597874
34, 0.20960701311651603, 0.024440829125826367
35, 0.25415912149810693, 0.1337735363048687
36, 0.2231900544056279, -0.10049466121888576
37, 0.17089155240705003, -0.10232283175050944
38, 0.18917493000423047, -0.15215092199000957
39, 0.16097194133135018, -0.040221130223520654
40, 0.13472359627930655, -0.09297660631158211
41, 0.14455716670007582, 0.04644684563819275
42, 0.14492951980414115, 0.010090260418922825
43, 0.16175374246328697, -0.19641637802630613
44, 0.10704607893049786, -0.10909054860252827
45, 0.10187531703401173, -0.2386199121448052
46, 0.10499052228328382, -0.058943877248392805
47, 0.10107915677117617, -0.20031403410088985
48, 0.05467493578273633, -0.10151989143686979
49, 0.06367341457080379, 0.0023562605904359807
50, 0.05485297119920051, -0.3390145151774541
51, 0.06323586928438656, -0.1389438359540891
52, 0.04816661457404296, -0.20994989851505536
53, 0.0206837897720875, -0.20392180348877711
